original_glcm_Autocorrelation;original_glcm_ClusterProminence;original_glcm_ClusterShade;original_glcm_ClusterTendency;original_glcm_Contrast;original_glcm_Correlation;original_glcm_DifferenceAverage;original_glcm_DifferenceEntropy;original_glcm_DifferenceVariance;original_glcm_Id;original_glcm_Idm;original_glcm_Idmn;original_glcm_Idn;original_glcm_Imc1;original_glcm_Imc2;original_glcm_InverseVariance;original_glcm_JointAverage;original_glcm_JointEnergy;original_glcm_JointEntropy;original_glcm_MCC;original_glcm_MaximumProbability;original_glcm_SumAverage;original_glcm_SumEntropy;original_glcm_SumSquares;HasContrast
10,527;2324,3;165,823;21,091;0,681;0,937;0,293;0,97;0,594;0,89;0,883;0,995;0,978;-0,56;0,931;0,154;2,329;0,447;2,61;0,956;0,664;4,658;2,203;5,443;0
8,49;2213,732;160,081;17,968;0,857;0,909;0,305;0,964;0,762;0,897;0,888;0,994;0,977;-0,52;0,893;0,126;2,052;0,539;2,289;0,939;0,733;4,105;1,884;4,706;0
8,775;2472,097;173,88;18,931;1,168;0,884;0,376;1,081;1,023;0,881;0,869;0,992;0,973;-0,474;0,876;0,122;2,082;0,538;2,363;0,92;0,732;4,164;1,898;5,025;0
7,998;1993,967;146,434;16,656;0,733;0,916;0,286;0,938;0,65;0,899;0,891;0,995;0,979;-0,519;0,891;0,13;2,004;0,534;2,268;0,939;0,729;4,009;1,881;4,347;0
6,831;1920,572;140,686;14,72;0,643;0,916;0,218;0,752;0,594;0,927;0,921;0,996;0,984;-0,567;0,87;0,093;1,82;0,637;1,794;0,947;0,797;3,639;1,508;3,841;0
9,453;2646,716;181,436;19,911;0,701;0,932;0,227;0,771;0,647;0,922;0,917;0,995;0,983;-0,621;0,93;0,11;2,156;0,51;2,242;0,96;0,71;4,313;1,958;5,153;0
7,549;1954,249;144,135;15,961;0,687;0,917;0,252;0,851;0,622;0,912;0,906;0,995;0,981;-0,545;0,886;0,111;1,931;0,582;2,051;0,945;0,761;3,863;1,711;4,162;0
6,707;1852,971;135,678;14,278;0,693;0,907;0,244;0,823;0,633;0,917;0,91;0,995;0,982;-0,535;0,868;0,103;1,82;0,612;1,926;0,937;0,781;3,639;1,603;3,743;0
10,467;2463,701;172,079;21,141;0,722;0,934;0,274;0,91;0,644;0,9;0,894;0,995;0,979;-0,583;0,935;0,145;2,316;0,451;2,538;0,958;0,667;4,631;2,18;5,466;0
7,443;1942,694;142,941;15,732;0,78;0,906;0,274;0,895;0,703;0,907;0,899;0,995;0,98;-0,522;0,88;0,115;1,925;0,571;2,115;0,936;0,754;3,85;1,751;4,128;0
6,89;2051,43;145,916;14,869;0,689;0,911;0,242;0,815;0,629;0,918;0,911;0,995;0,982;-0,538;0,866;0,101;1,829;0,62;1,894;0,94;0,786;3,658;1,576;3,89;0
6,902;1981,514;144,828;15,023;0,692;0,912;0,232;0,778;0,637;0,924;0,917;0,995;0,983;-0,557;0,864;0,089;1,822;0,648;1,781;0,946;0,804;3,644;1,477;3,929;0
10,305;2300,842;166,756;21,057;0,924;0,916;0,353;1,078;0,798;0,878;0,867;0,994;0,974;-0,515;0,913;0,148;2,296;0,472;2,604;0,945;0,684;4,592;2,125;5,495;0
8,143;2334,799;166,477;17,671;0,811;0,912;0,273;0,882;0,734;0,909;0,902;0,995;0,98;-0,543;0,887;0,108;1,982;0,585;2,079;0,944;0,763;3,964;1,719;4,62;0
9,332;2342,756;168,34;19,623;0,929;0,91;0,318;0,987;0,825;0,893;0,885;0,994;0,977;-0,531;0,904;0,129;2,158;0,52;2,368;0,942;0,719;4,317;1,948;5,138;0
7,117;2044,776;147,597;15,327;0,67;0,916;0,225;0,771;0,618;0,924;0,918;0,996;0,983;-0,569;0,883;0,099;1,858;0,611;1,903;0,946;0,78;3,716;1,609;3,999;0
7,479;2279,899;159,538;16,241;0,734;0,914;0,249;0,827;0,671;0,917;0,91;0,995;0,982;-0,547;0,879;0,103;1,898;0,601;1,973;0,94;0,774;3,796;1,65;4,244;0
10,279;3045,026;204,788;22,227;1,424;0,88;0,444;1,197;1,223;0,864;0,849;0,99;0,968;-0,452;0,883;0,129;2,254;0,495;2,603;0,91;0,702;4,507;2,068;5,913;0
10,138;3180,919;212,152;22,245;1,334;0,887;0,408;1,13;1,164;0,875;0,862;0,991;0,971;-0,472;0,885;0,123;2,216;0,516;2,481;0,917;0,717;4,432;1,987;5,895;0
11,111;2921,216;194,41;22,589;0,77;0,934;0,294;0,954;0,681;0,893;0,887;0,995;0,978;-0,567;0,937;0,152;2,378;0,424;2,669;0,951;0,646;4,757;2,285;5,84;0
10,234;2787,557;191,946;21,799;0,669;0,94;0,263;0,884;0,598;0,907;0,9;0,995;0,98;-0,582;0,912;0,116;2,225;0,549;2,175;0,965;0,739;4,451;1,819;5,617;0
9,982;2747,854;186,34;21,017;0,716;0,934;0,266;0,885;0,643;0,907;0,9;0,995;0,98;-0,585;0,917;0,12;2,215;0,534;2,231;0,962;0,728;4,43;1,874;5,433;0
8,957;2449,145;170,86;18,893;0,746;0,924;0,292;0,949;0,659;0,898;0,889;0,995;0,978;-0,538;0,903;0,126;2,102;0,533;2,307;0,945;0,728;4,205;1,911;4,91;0
8,841;2873,993;192,891;19,466;0,674;0,933;0,235;0,798;0,618;0,921;0,914;0,995;0,983;-0,591;0,897;0,098;2,036;0,602;1,951;0,959;0,774;4,071;1,641;5,035;0
10,961;2982,916;201,467;23,142;1,568;0,873;0,504;1,306;1,311;0,846;0,829;0,989;0,964;-0,428;0,886;0,141;2,36;0,453;2,838;0,904;0,671;4,719;2,229;6,177;0
8,623;2350,24;164,216;18,246;0,617;0,935;0,236;0,816;0,56;0,917;0,911;0,996;0,982;-0,593;0,903;0,107;2,053;0,581;2,009;0,964;0,76;4,107;1,69;4,716;0
8,003;1968,548;145,28;16,707;0,799;0,909;0,293;0,941;0,711;0,9;0,892;0,994;0,978;-0,53;0,893;0,119;2,006;0,556;2,219;0,942;0,744;4,013;1,825;4,376;0
10,331;2798,439;194,534;22,383;1,562;0,87;0,449;1,174;1,358;0,871;0,855;0,99;0,968;-0,474;0,885;0,113;2,264;0,528;2,463;0,934;0,726;4,528;1,929;5,986;0
5,368;1470,749;106,789;10,822;0,494;0,913;0,233;0,837;0,439;0,912;0,905;0,996;0,982;-0,485;0,844;0,12;1,669;0,591;1,949;0,922;0,767;3,338;1,632;2,829;0
9,597;2693,258;181,168;19,708;0,724;0,929;0,274;0,909;0,646;0,9;0,895;0,995;0,979;-0,573;0,933;0,144;2,203;0,442;2,569;0,947;0,66;4,405;2,212;5,108;0
7,756;2402,011;163,045;16,466;1,214;0,863;0,418;1,183;1,036;0,863;0,849;0,992;0,969;-0,405;0,852;0,148;1,986;0,485;2,566;0,88;0,694;3,971;2,055;4,42;0
6,672;2632,905;166,07;14,551;0,694;0,909;0,218;0,738;0,645;0,928;0,923;0,995;0,984;-0,57;0,879;0,093;1,791;0,612;1,865;0,933;0,78;3,582;1,595;3,811;0
7,516;1787,254;129,989;14,895;0,799;0,898;0,336;1,06;0,684;0,877;0,868;0,994;0,974;-0,471;0,893;0,162;1,998;0,451;2,606;0,915;0,667;3,996;2,145;3,923;0
6,117;1588,784;116,232;12,369;0,822;0,875;0,312;0,994;0,723;0,89;0,881;0,994;0,977;-0,447;0,854;0,142;1,797;0,52;2,285;0,902;0,719;3,595;1,877;3,298;0
7,197;1727,225;124,553;14,111;0,869;0,884;0,357;1,101;0,739;0,87;0,86;0,994;0,973;-0,443;0,882;0,174;1,971;0,433;2,661;0,904;0,653;3,943;2,18;3,745;0
7,124;1677,52;122,032;13,981;0,936;0,875;0,369;1,12;0,797;0,868;0,858;0,993;0,972;-0,437;0,878;0,171;1,965;0,44;2,653;0,898;0,659;3,931;2,161;3,729;0
5,713;1399,479;103,73;11,253;0,815;0,865;0,318;1,01;0,712;0,887;0,878;0,994;0,976;-0,434;0,848;0,144;1,762;0,513;2,301;0,891;0,713;3,523;1,881;3,017;0
6,855;1587,306;116,917;13,401;0,833;0,883;0,355;1,099;0,706;0,871;0,86;0,994;0,973;-0,436;0,873;0,168;1,927;0,45;2,596;0,901;0,667;3,854;2,116;3,558;0
6,796;1598,336;117,813;13,347;1,101;0,848;0,43;1,23;0,914;0,852;0,838;0,992;0,968;-0,379;0,848;0,172;1,932;0,434;2,738;0,865;0,655;3,865;2,178;3,612;0
6,844;1985,016;137,448;14,115;0,881;0,883;0,338;1,05;0,764;0,881;0,872;0,994;0,975;-0,439;0,859;0,151;1,88;0,502;2,4;0,902;0,705;3,76;1,962;3,749;0
8,169;1555,657;113,287;14,582;0,606;0,92;0,312;1,02;0,507;0,873;0,867;0,996;0,976;-0,525;0,935;0,199;2,162;0,333;2,927;0,935;0,563;4,325;2,497;3,797;0
6,934;1519,161;109,793;12,883;0,655;0,903;0,296;0,978;0,566;0,884;0,878;0,995;0,977;-0,512;0,914;0,175;1,969;0,405;2,642;0,923;0,628;3,938;2,242;3,385;0
11,787;2084,666;142,422;20,603;1,174;0,892;0,547;1,439;0,869;0,796;0,779;0,991;0,958;-0,406;0,921;0,264;2,632;0,235;3,722;0,905;0,472;5,265;2,971;5,444;0
5,79;1564,428;113,109;11,766;0,734;0,883;0,277;0,917;0,656;0,902;0,894;0,995;0,979;-0,464;0,847;0,13;1,741;0,557;2,11;0,908;0,744;3,482;1,749;3,125;0
7,544;1937,68;134,922;14,774;0,74;0,905;0,305;0,988;0,644;0,885;0,879;0,995;0,977;-0,509;0,912;0,169;2,009;0,421;2,626;0,925;0,642;4,018;2,221;3,878;0
7,132;1662,818;121,287;13,918;0,834;0,887;0,353;1,097;0,708;0,87;0,86;0,994;0,973;-0,445;0,882;0,175;1,965;0,433;2,651;0,908;0,653;3,93;2,174;3,688;0
7,692;1854,588;129,068;14,569;0,764;0,9;0,317;1,011;0,66;0,879;0,873;0,995;0,976;-0,504;0,918;0,184;2,059;0,371;2,772;0,924;0,597;4,119;2,359;3,833;0
8,908;1841,337;132,486;16,695;1,428;0,842;0,573;1,474;1,096;0,803;0,784;0,99;0,957;-0,344;0,866;0,221;2,256;0,314;3,383;0,854;0,553;4,513;2,638;4,531;0
7,048;2079,522;143,333;14,585;0,815;0,894;0,31;0,991;0,717;0,89;0,882;0,994;0,977;-0,474;0,878;0,146;1,899;0,497;2,383;0,913;0,702;3,798;1,976;3,85;0
7,726;2064,922;142,969;15,558;1,238;0,853;0,461;1,27;1,018;0,844;0,829;0,991;0,966;-0,387;0,857;0,172;2,036;0,426;2,812;0,867;0,649;4,073;2,239;4,199;0
8,134;1526,813;113,27;14,585;0,654;0,914;0,3;0,987;0,562;0,882;0,876;0,995;0,977;-0,531;0,935;0,183;2,157;0,327;2,889;0,934;0,551;4,313;2,482;3,81;0
7,673;2054,579;144,6;15,598;0,943;0,886;0,373;1,128;0,801;0,867;0,857;0,993;0,972;-0,437;0,879;0,167;2,002;0,445;2,657;0,903;0,663;4,005;2,161;4,135;0
8,242;2005,171;141,458;16,195;1,138;0,869;0,472;1,314;0,912;0,835;0,819;0,992;0,964;-0,385;0,871;0,191;2,116;0,384;3,007;0,88;0,615;4,232;2,385;4,333;0
9,566;2338,708;159,141;18,673;1,584;0,844;0,591;1,488;1,23;0,804;0,783;0,989;0,956;-0,348;0,866;0,204;2,301;0,336;3,314;0,856;0,574;4,602;2,583;5,064;0
9,092;2528,068;175,303;18,823;1,274;0,873;0,48;1,313;1,04;0,838;0,823;0,991;0,964;-0,39;0,873;0,181;2,169;0,401;2,988;0,884;0,629;4,338;2,371;5,024;1
15,859;2960,25;186,093;26,88;1,123;0,92;0,586;1,484;0,772;0,772;0,755;0,991;0,954;-0,419;0,942;0,31;3,069;0,162;4,167;0,925;0,383;6,138;3,349;7,001;1
