HasContrast;Mean;Median;StdDev;Min;Max;Skewness;Kurtosis;Percentile_25;Percentile_75;Entropy
0;109,528;117,3;59,8;0,638;255;0,428;0,006;56,738;141,525;4,245
0;109,393;113,475;61,82;0,638;255;0,449;-0,122;56,738;142,8;4,32
0;113,082;113,475;63,825;0,638;255;0,453;-0,2;61,838;148,538;4,322
0;102,191;108,375;61,348;0,638;255;0,489;-0,086;45,9;138,338;4,293
0;112,804;119,212;59,741;0,638;255;0,405;0,041;64,388;142,8;4,255
0;110,585;117,938;62,599;0,638;255;0,577;0,05;54,188;139,612;4,133
0;108,434;115,388;59,911;0,638;255;0,428;0,007;56,738;140,888;4,278
0;104,59;109,65;61,329;0,638;255;0,513;-0,052;50,363;138,975;4,302
0;109,241;116,663;60,641;0,638;255;0,513;0,109;55,462;139,612;4,185
0;104,56;110,288;61,393;0,638;255;0,481;-0,083;49,725;139,612;4,299
0;107,195;111,562;62,624;0,638;255;0,509;-0,041;52,912;140,25;4,285
0;117,68;121,125;59,027;0,638;255;0,376;0,042;75,225;147,263;4,281
0;114,304;119,85;59,627;0,638;255;0,348;-0,062;66,938;146,625;4,298
0;116,128;119,85;61,626;0,638;255;0,412;-0,127;66,938;147,263;4,295
0;115,634;119,85;59,984;0,638;255;0,414;-0,005;68,85;145,988;4,275
0;109,275;116,025;61,698;0,638;255;0,481;-0,09;54,188;141,525;4,264
0;110,579;114,75;62,957;0,638;255;0,508;-0,061;58,012;142,162;4,269
0;117,574;116,025;66,257;0,638;255;0,438;-0,34;66,3;153,638;4,297
0;119,679;118,575;66,971;0,638;255;0,423;-0,381;67,575;154,913;4,271
0;106,437;112,2;64,316;0,638;255;0,612;0,011;48,45;138,338;4,179
0;130,634;126,862;54,398;0,638;255;0,604;0,53;100,088;150,45;4,106
0;125,014;120,488;55,653;0,638;255;0,738;0,591;93,075;143,438;4,11
0;112,951;114,112;60,544;0,638;255;0,532;0,107;67,575;142,162;4,283
0;128,373;122,4;58,223;0,638;255;0,659;0,232;93,712;147,9;4,129
0;116,052;113,475;65,755;0,638;255;0,444;-0,339;65,025;153,638;4,329
0;123,362;119,85;53,113;0,638;255;0,786;0,907;93,075;141,525;4,098
0;110,546;111,562;57,914;0,638;255;0,523;0,187;66,938;140,888;4,314
0;129,251;125,587;60,24;0,638;255;0,383;-0,13;90,525;160,012;4,259
0;79,594;61,2;59,949;0,638;255;0,984;0,536;30,6;121,125;4,22
0;98,257;96,9;64,199;0,638;255;0,802;0,156;41,438;133,875;4,181
0;90,48;74,587;66,426;0,638;255;0,879;0,129;36,975;131,962;4,289
0;91,361;83,512;68,367;0,638;255;1,025;0,503;41,438;110,925;4,17
0;84,409;69,488;59,707;0,638;255;0,915;0,43;35,062;124,95;4,243
0;79,715;58,65;60,441;0,638;255;1,017;0,553;31,238;121,125;4,219
0;78,618;58,65;59,085;0,638;255;1,066;0,787;31,875;118,575;4,199
0;80,154;62,475;58,912;0,638;255;1,035;0,736;33,15;119,212;4,218
0;75,838;54,825;57,958;0,638;255;1,131;0,916;31,238;115,388;4,19
0;78,529;59,925;58,29;0,638;255;1,025;0,699;31,875;119,212;4,214
0;77,407;58,012;59,045;0,638;255;1,087;0,725;31,875;115,388;4,246
0;81,52;65,025;62,976;0,638;255;1,021;0,587;29,962;119,85;4,236
0;76,715;55,462;53,603;0,638;255;1,201;1,383;35,7;116,663;4,065
0;74,998;54,188;54,263;0,638;255;1,291;1,628;34,425;112,838;4,078
0;86,71;75,225;59,835;0,638;255;0,87;0,386;36,975;126,225;4,274
0;79,541;61,838;60,748;0,638;255;1,002;0,603;29,325;119,85;4,209
0;79,82;57,375;59,076;0,638;255;1,179;1,075;34,425;119,212;4,13
0;78,263;58,012;58,565;0,638;255;1,054;0,763;31,875;118,575;4,191
0;75,003;51;57,124;0,638;255;1,321;1,558;32,513;114,112;4,049
0;80,196;63,112;59,527;0,638;255;1,019;0,595;33,788;118,575;4,279
0;84,134;65,663;63,173;0,638;255;1,014;0,509;32,513;124,312;4,207
0;83,97;67,575;62,023;0,638;255;1,02;0,614;35,7;121,762;4,272
0;74,812;49,088;54,354;0,638;255;1,195;1,184;33,15;117,3;3,98
